content_id,date,topic,format,video_length,hook_type,posting_time,caption_length,views,likes,comments,shares,saves,retention_rate,followers_gained,engagement_rate,viral_score,viral_category,total_comments,relatable_comments,relatability_rate,is_viral
C0001,2025-01-01,Social Anxiety,Long,169,Text,Night,178,12886,771,77,95,167,57.6,44,8.61,180.60000000000002,Low,3,3,100.0,0
C0002,2025-01-01,Family,Long,110,Text,Evening,194,3826,138,21,27,31,74.3,8,5.67,38.1,Low,6,5,83.33,0
C0003,2025-01-01,Work Stress,Long,177,Text,Night,91,49323,1873,67,408,641,67.6,184,6.06,556.2,Medium,4,2,50.0,0
C0004,2025-01-02,Friendship,Short,42,Text,Evening,112,10612,550,59,189,102,77.5,47,8.48,173.0,Low,4,1,25.0,0
C0005,2025-01-02,Friendship,Short,36,Text,Morning,247,12432,411,49,114,102,89.7,58,5.44,127.1,Low,4,3,75.0,0
C0006,2025-01-02,Family,Long,61,Visual,Night,225,61083,2182,330,515,751,85.3,168,6.19,715.5,High,2,1,50.0,1
C0007,2025-01-03,Social Anxiety,Short,27,Text,Evening,124,135118,2798,238,1109,836,60.5,326,3.69,1021.8,High,6,3,50.0,1
C0008,2025-01-03,Work Stress,Long,138,Visual,Morning,85,71717,4154,449,421,732,78.5,333,8.03,893.2,High,4,2,50.0,1
C0009,2025-01-03,Dating,Short,18,Text,Morning,99,2927,129,6,26,24,79.3,16,6.32,31.700000000000003,Low,6,4,66.67,0
C0010,2025-01-04,Social Anxiety,Short,18,Text,Evening,153,29412,1331,156,681,550,72.4,118,9.24,601.7,High,4,1,25.0,1
C0011,2025-01-04,Self Growth,Short,33,Visual,Morning,160,21819,659,58,170,351,83.3,108,5.67,250.8,Medium,3,3,100.0,0
C0012,2025-01-05,Confidence,Long,129,Text,Afternoon,72,25047,886,91,236,205,51.7,72,5.66,262.7,Medium,6,1,16.67,0
C0013,2025-01-05,Work Stress,Short,45,Visual,Morning,45,19320,376,48,75,125,94.6,99,3.23,114.69999999999999,Low,5,1,20.0,0
C0014,2025-01-05,Family,Short,42,Text,Evening,143,69110,4006,242,528,988,82.1,239,8.34,956.6,High,5,4,80.0,1
C0015,2025-01-06,Work Stress,Short,39,Visual,Evening,213,34202,908,55,280,535,71.3,171,5.2,374.3,Medium,6,4,66.67,0
C0016,2025-01-06,Family,Short,20,Visual,Evening,65,9728,319,22,123,73,74.1,16,5.52,107.4,Low,2,0,0.0,0
C0017,2025-01-06,Self Growth,Short,30,Text,Afternoon,123,45463,1546,187,325,722,60.0,89,6.11,538.6,Medium,5,1,20.0,0
C0018,2025-01-07,Dating,Long,142,Visual,Morning,67,76901,3011,333,845,728,68.9,378,6.39,924.1,High,7,2,28.57,1
C0019,2025-01-07,Family,Short,49,Text,Evening,85,19799,406,38,58,164,72.2,67,3.36,120.6,Low,7,4,57.14,0
C0020,2025-01-07,Friendship,Long,94,Text,Afternoon,170,16042,568,28,132,117,55.7,16,5.27,150.3,Low,2,1,50.0,0
C0021,2025-01-08,Self Growth,Long,123,Visual,Evening,95,101441,3885,607,1307,964,79.8,219,6.67,1321.9,High,3,1,33.33,1
C0022,2025-01-08,College Life,Short,28,Visual,Morning,90,74929,2248,276,451,882,92.8,274,5.15,725.0,High,6,4,66.67,1
C0023,2025-01-09,Dating,Short,29,Visual,Morning,259,139771,6007,194,1567,1264,79.7,782,6.46,1645.5,High,5,4,80.0,1
